,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
16,05/11/2023,14:00,Premier League,Matchweek 11,Sun,Away,L,0,2,Nott'ham Forest,1.2,0.4,73,29313,John McGinn,04/04/2002,Jarred Gillett,Match Report,,13,3,14,0,0,0,2024,AstonVilla
18,12/11/2023,14:00,Premier League,Matchweek 12,Sun,Home,W,3,1,Fulham,3,0.9,51,41608,John McGinn,4-2-2-2,Simon Hooper,Match Report,,12,6,13.5,0,0,0,2024,AstonVilla
19,26/11/2023,14:00,Premier League,Matchweek 13,Sun,Away,W,2,1,Tottenham,1.7,2.3,38,61679,John McGinn,04/04/2002,Robert Jones,Match Report,,15,5,16.6,1,0,0,2024,AstonVilla
21,03/12/2023,14:00,Premier League,Matchweek 14,Sun,Away,D,2,2,Bournemouth,0.7,2,62,11191,John McGinn,04/04/2002,Thomas Bramall,Match Report,,11,3,19.2,1,0,0,2024,AstonVilla
22,06/12/2023,20:15,Premier League,Matchweek 15,Wed,Home,W,1,0,Manchester City,2.3,0.6,46,41421,John McGinn,4-4-1-1,John Brooks,Match Report,,22,7,18.9,0,0,0,2024,AstonVilla
23,09/12/2023,17:30,Premier League,Matchweek 16,Sat,Home,W,1,0,Arsenal,0.6,1.4,39,42000,John McGinn,4-4-1-1,Jarred Gillett,Match Report,,10,3,20.8,1,0,0,2024,AstonVilla
25,17/12/2023,14:00,Premier League,Matchweek 17,Sun,Away,W,2,1,Brentford,1.4,0.5,66,17034,John McGinn,03/05/2002,David Coote,Match Report,,15,5,16.7,0,0,0,2024,AstonVilla
26,22/12/2023,20:00,Premier League,Matchweek 18,Fri,Home,D,1,1,Sheffield Utd,0.9,0.6,77,41651,John McGinn,4-4-1-1,Anthony Taylor,Match Report,,12,4,17.5,0,0,0,2024,AstonVilla
27,26/12/2023,20:00,Premier League,Matchweek 19,Tue,Away,L,2,3,Manchester Utd,1.7,1.1,54,73574,John McGinn,4-2-3-1,Craig Pawson,Match Report,,10,3,14.6,1,0,0,2024,AstonVilla
28,30/12/2023,15:00,Premier League,Matchweek 20,Sat,Home,W,3,2,Burnley,3.2,1.2,64,41613,John McGinn,4-4-1-1,Stuart Attwell,Match Report,,18,6,16.9,1,1,1,2024,AstonVilla
30,14/01/2024,14:00,Premier League,Matchweek 21,Sun,Away,D,0,0,Everton,1.2,1.1,68,39284,John McGinn,04/04/2002,David Coote,Match Report,,16,4,14.2,0,0,0,2024,AstonVilla
32,30/01/2024,20:15,Premier League,Matchweek 22,Tue,Home,L,1,3,Newcastle Utd,1.4,2.6,61,42191,John McGinn,04/04/2002,John Brooks,Match Report,,12,5,14.3,0,0,0,2024,AstonVilla
33,03/02/2024,17:30,Premier League,Matchweek 23,Sat,Away,W,5,0,Sheffield Utd,2.2,1.4,63,30187,John McGinn,4-2-3-1,Paul Tierney,Match Report,,14,9,15.8,1,0,0,2024,AstonVilla
35,11/02/2024,16:30,Premier League,Matchweek 24,Sun,Home,L,1,2,Manchester Utd,2.4,1.8,56,42185,John McGinn,4-2-3-1,Robert Jones,Match Report,,23,9,16.7,1,0,0,2024,AstonVilla
36,17/02/2024,15:00,Premier League,Matchweek 25,Sat,Away,W,2,1,Fulham,1.5,1.5,48,24401,John McGinn,4-2-3-1,Lewis Smith,Match Report,,12,3,16.8,1,0,0,2024,AstonVilla
37,24/02/2024,15:00,Premier League,Matchweek 26,Sat,Home,W,4,2,Nott'ham Forest,3.6,2.6,58,42131,John McGinn,4-2-3-1,Samuel Barrott,Match Report,,16,6,14.3,2,0,0,2024,AstonVilla
38,02/03/2024,17:30,Premier League,Matchweek 27,Sat,Away,W,3,2,Luton Town,1.9,1.8,54,11594,John McGinn,4-2-3-1,Michael Oliver,Match Report,,12,8,12.5,0,0,0,2024,AstonVilla
40,10/03/2024,13:00,Premier League,Matchweek 28,Sun,Home,L,0,4,Tottenham,0.8,1.5,32,42310,John McGinn,05/03/2002,Chris Kavanagh,Match Report,,10,1,14.1,0,0,0,2024,AstonVilla
42,17/03/2024,14:00,Premier League,Matchweek 29,Sun,Away,D,1,1,West Ham,0.7,2,69,62461,Emiliano Martínez,04/04/2002,Jarred Gillett,Match Report,,13,5,20.6,0,0,0,2024,AstonVilla
43,30/03/2024,17:30,Premier League,Matchweek 30,Sat,Home,W,2,0,Wolves,1,1.5,48,42640,Emiliano Martínez,04/04/2002,Paul Tierney,Match Report,,11,5,14.7,0,0,0,2024,AstonVilla
44,03/04/2024,20:15,Premier League,Matchweek 31,Wed,Away,L,1,4,Manchester City,0.8,3.4,33,53422,Douglas Luiz,4-2-3-1,Darren England,Match Report,,8,3,12.4,0,0,0,2024,AstonVilla
45,06/04/2024,15:00,Premier League,Matchweek 32,Sat,Home,D,3,3,Brentford,1.5,1.5,69,42118,John McGinn,4-4-1-1,Michael Salisbury,Match Report,,11,3,12.1,1,0,0,2024,AstonVilla
47,14/04/2024,16:30,Premier League,Matchweek 33,Sun,Away,W,2,0,Arsenal,0.9,1.6,48,60350,John McGinn,4-2-3-1,David Coote,Match Report,,11,2,18.8,1,0,0,2024,AstonVilla
49,21/04/2024,15:00,Premier League,Matchweek 34,Sun,Home,W,3,1,Bournemouth,2.4,1.8,56,42189,John McGinn,4-2-3-1,Tim Robinson,Match Report,,15,5,14.8,0,0,0,2024,AstonVilla
50,27/04/2024,20:00,Premier League,Matchweek 35,Sat,Home,D,2,2,Chelsea,1.1,1.6,29,42354,John McGinn,4-4-1-1,Craig Pawson,Match Report,,9,4,15,0,0,0,2024,AstonVilla
52,05/05/2024,14:00,Premier League,Matchweek 36,Sun,Away,L,0,1,Brighton,0.1,2.5,48,31596,John McGinn,4-2-3-1,Robert Jones,Match Report,,2,1,23.2,0,0,0,2024,AstonVilla
54,13/05/2024,20:00,Premier League,Matchweek 37,Mon,Home,D,3,3,Liverpool,3.1,1.7,41,42241,John McGinn,4-2-3-1,Simon Hooper,Match Report,,19,5,15.2,0,0,0,2024,AstonVilla
55,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,L,0,5,Crystal Palace,0.9,2.5,46,25191,John McGinn,04/04/2002,Darren Bond,Match Report,,8,2,13.8,0,0,0,2024,AstonVilla
0,13/08/2023,14:00,Premier League,Matchweek 1,Sun,Away,D,2,2,Brentford,1.3,2.2,69,17066,Son Heung-min,4-2-3-1,Robert Jones,Match Report,,18,6,19.6,0,0,0,2024,TottenhamHotspur
1,19/08/2023,17:30,Premier League,Matchweek 2,Sat,Home,W,2,0,Manchester Utd,1.7,2.1,55,61910,Son Heung-min,4-2-3-1,Michael Oliver,Match Report,,17,6,13.8,0,0,0,2024,TottenhamHotspur
2,26/08/2023,12:30,Premier League,Matchweek 3,Sat,Away,W,2,0,Bournemouth,2.1,0.7,56,10567,Son Heung-min,4-2-3-1,Tim Robinson,Match Report,,17,6,16.6,1,0,0,2024,TottenhamHotspur
4,02/09/2023,15:00,Premier League,Matchweek 4,Sat,Away,W,5,2,Burnley,2.2,1.3,53,21750,Son Heung-min,4-2-3-1,Darren England,Match Report,,21,11,19.3,0,0,0,2024,TottenhamHotspur
5,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,W,2,1,Sheffield Utd,2.1,0.7,70,61706,Son Heung-min,4-2-3-1,Peter Bankes,Match Report,,28,10,16.4,0,0,0,2024,TottenhamHotspur
6,24/09/2023,14:00,Premier League,Matchweek 6,Sun,Away,D,2,2,Arsenal,1.4,1.8,53,60156,Son Heung-min,4-2-3-1,Robert Jones,Match Report,,13,5,16,0,0,0,2024,TottenhamHotspur
7,30/09/2023,17:30,Premier League,Matchweek 7,Sat,Home,W,2,1,Liverpool,2.2,1.3,64,62001,Son Heung-min,4-2-3-1,Simon Hooper,Match Report,,24,8,19.8,0,0,0,2024,TottenhamHotspur
8,07/10/2023,12:30,Premier League,Matchweek 8,Sat,Away,W,1,0,Luton Town,1.9,0.8,66,10290,Son Heung-min,4-2-3-1,John Brooks,Match Report,,15,4,16.9,1,0,0,2024,TottenhamHotspur
9,23/10/2023,20:00,Premier League,Matchweek 9,Mon,Home,W,2,0,Fulham,1.5,1,55,61286,Son Heung-min,4-2-3-1,Anthony Taylor,Match Report,,15,5,17.2,0,0,0,2024,TottenhamHotspur
10,27/10/2023,20:00,Premier League,Matchweek 10,Fri,Away,W,2,1,Crystal Palace,1.1,0.6,75,25074,Son Heung-min,4-2-3-1,Andy Madley,Match Report,,10,1,19.5,1,0,0,2024,TottenhamHotspur
11,06/11/2023,20:00,Premier League,Matchweek 11,Mon,Home,L,1,4,Chelsea,0.9,4.1,40,61726,Son Heung-min,4-2-3-1,Michael Oliver,Match Report,,8,5,23.5,1,0,0,2024,TottenhamHotspur
12,11/11/2023,12:30,Premier League,Matchweek 12,Sat,Away,L,1,2,Wolves,0.7,2.1,58,31642,Son Heung-min,04/03/2003,Tim Robinson,Match Report,,6,2,17.5,0,0,0,2024,TottenhamHotspur
13,26/11/2023,14:00,Premier League,Matchweek 13,Sun,Home,L,1,2,Aston Villa,2.3,1.7,62,61679,Son Heung-min,4-2-3-1,Robert Jones,Match Report,,18,7,14,0,0,0,2024,TottenhamHotspur
14,03/12/2023,16:30,Premier League,Matchweek 14,Sun,Away,D,3,3,Manchester City,0.5,2.6,45,53473,Son Heung-min,4-2-3-1,Simon Hooper,Match Report,,8,4,20.7,0,0,0,2024,TottenhamHotspur
15,07/12/2023,20:15,Premier League,Matchweek 15,Thu,Home,L,1,2,West Ham,1.8,2.2,74,61171,Son Heung-min,4-2-3-1,Michael Salisbury,Match Report,,23,6,17.1,1,0,0,2024,TottenhamHotspur
16,10/12/2023,16:30,Premier League,Matchweek 16,Sun,Home,W,4,1,Newcastle Utd,3.8,1.7,56,61171,Son Heung-min,4-2-3-1,Chris Kavanagh,Match Report,,22,10,15.5,0,1,1,2024,TottenhamHotspur
17,15/12/2023,20:00,Premier League,Matchweek 17,Fri,Away,W,2,0,Nott'ham Forest,1.5,1.3,66,29296,Son Heung-min,4-2-3-1,Jarred Gillett,Match Report,,12,6,12.5,0,0,0,2024,TottenhamHotspur
18,23/12/2023,15:00,Premier League,Matchweek 18,Sat,Home,W,2,1,Everton,1.5,1.8,61,61808,Son Heung-min,4-2-3-1,Stuart Attwell,Match Report,,13,6,15.1,0,0,0,2024,TottenhamHotspur
19,28/12/2023,19:30,Premier League,Matchweek 19,Thu,Away,L,2,4,Brighton,2.3,3.2,55,31675,Son Heung-min,4-2-3-1,Jarred Gillett,Match Report,,19,3,15.2,1,0,0,2024,TottenhamHotspur
20,31/12/2023,14:00,Premier League,Matchweek 20,Sun,Home,W,3,1,Bournemouth,2.3,1.7,50,61780,Son Heung-min,04/03/2003,Simon Hooper,Match Report,,12,6,14.7,0,0,0,2024,TottenhamHotspur
22,14/01/2024,16:30,Premier League,Matchweek 21,Sun,Away,D,2,2,Manchester Utd,1.2,0.8,63,73489,Cristian Romero,04/03/2003,John Brooks,Match Report,,16,5,14.4,0,0,0,2024,TottenhamHotspur
24,31/01/2024,19:30,Premier League,Matchweek 22,Wed,Home,W,3,2,Brentford,2.9,1.6,67,61210,Cristian Romero,4-2-3-1,David Coote,Match Report,,19,5,14.3,0,0,0,2024,TottenhamHotspur
25,03/02/2024,12:30,Premier League,Matchweek 23,Sat,Away,D,2,2,Everton,1,2.6,57,39321,Cristian Romero,4-2-3-1,Michael Oliver,Match Report,,9,6,17.8,0,0,0,2024,TottenhamHotspur
26,10/02/2024,15:00,Premier League,Matchweek 24,Sat,Home,W,2,1,Brighton,1.6,1.2,52,61445,Cristian Romero,4-2-3-1,Samuel Barrott,Match Report,,16,6,17.1,1,0,0,2024,TottenhamHotspur
27,17/02/2024,15:00,Premier League,Matchweek 25,Sat,Home,L,1,2,Wolves,1.6,1.8,71,61532,Son Heung-min,4-2-3-1,Anthony Taylor,Match Report,,15,4,14.3,0,0,0,2024,TottenhamHotspur
28,02/03/2024,15:00,Premier League,Matchweek 27,Sat,Home,W,3,1,Crystal Palace,1.9,0.3,78,61339,Son Heung-min,4-2-3-1,John Brooks,Match Report,,14,6,13.5,0,0,0,2024,TottenhamHotspur
29,10/03/2024,13:00,Premier League,Matchweek 28,Sun,Away,W,4,0,Aston Villa,1.5,0.8,68,42310,Son Heung-min,4-2-3-1,Chris Kavanagh,Match Report,,9,5,14.9,0,0,0,2024,TottenhamHotspur
30,16/03/2024,17:30,Premier League,Matchweek 29,Sat,Away,L,0,3,Fulham,2.4,2.6,57,24410,Son Heung-min,4-2-3-1,Robert Jones,Match Report,,14,5,14,0,0,0,2024,TottenhamHotspur
31,30/03/2024,15:00,Premier League,Matchweek 30,Sat,Home,W,2,1,Luton Town,2.9,0.5,70,61534,Son Heung-min,4-2-3-1,Jarred Gillett,Match Report,,17,2,14.5,1,0,0,2024,TottenhamHotspur
32,02/04/2024,20:15,Premier League,Matchweek 31,Tue,Away,D,1,1,West Ham,1,1.5,67,62469,Son Heung-min,4-2-3-1,John Brooks,Match Report,,13,4,17.4,0,0,0,2024,TottenhamHotspur
33,07/04/2024,18:00,Premier League,Matchweek 32,Sun,Home,W,3,1,Nott'ham Forest,1.5,1.5,63,61098,Son Heung-min,4-2-3-1,Simon Hooper,Match Report,,17,7,20.2,1,0,0,2024,TottenhamHotspur
34,13/04/2024,12:30,Premier League,Matchweek 33,Sat,Away,L,0,4,Newcastle Utd,0.8,2.8,72,52147,Son Heung-min,4-2-3-1,Tim Robinson,Match Report,,11,2,19,0,0,0,2024,TottenhamHotspur
35,28/04/2024,14:00,Premier League,Matchweek 35,Sun,Home,L,2,3,Arsenal,2.3,1,62,61554,Son Heung-min,4-2-3-1,Michael Oliver,Match Report,,14,1,16.8,0,1,1,2024,TottenhamHotspur
36,02/05/2024,19:30,Premier League,Matchweek 26,Thu,Away,L,0,2,Chelsea,1.6,2.2,63,39086,Son Heung-min,4-2-3-1,Robert Jones,Match Report,,19,3,16.9,0,0,0,2024,TottenhamHotspur
37,05/05/2024,16:30,Premier League,Matchweek 36,Sun,Away,L,2,4,Liverpool,1.2,3.3,56,60075,Son Heung-min,04/03/2003,Paul Tierney,Match Report,,11,6,21.6,1,0,0,2024,TottenhamHotspur
38,11/05/2024,15:00,Premier League,Matchweek 37,Sat,Home,W,2,1,Burnley,2.7,0.7,63,61148,Son Heung-min,04/03/2003,Jarred Gillett,Match Report,,21,9,16,0,0,0,2024,TottenhamHotspur
39,14/05/2024,20:00,Premier League,Matchweek 34,Tue,Home,L,0,2,Manchester City,1.7,2.4,53,61065,Son Heung-min,4-3-1-2,Chris Kavanagh,Match Report,,10,5,15,0,0,0,2024,TottenhamHotspur
40,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,W,3,0,Sheffield Utd,3.1,1,75,29116,Son Heung-min,4-2-3-1,Andy Madley,Match Report,,18,9,14.4,1,0,0,2024,TottenhamHotspur
0,13/08/2023,16:30,Premier League,Matchweek 1,Sun,Home,D,1,1,Liverpool,1.4,1.3,65,40096,Reece James,03/04/2003,Anthony Taylor,Match Report,,10,4,13.2,1,0,0,2024,Chelsea
1,20/08/2023,16:30,Premier League,Matchweek 2,Sun,Away,L,1,3,West Ham,2.5,1.8,75,62451,Ben Chilwell,03/04/2003,John Brooks,Match Report,,16,3,17.1,0,0,1,2024,Chelsea
2,25/08/2023,20:00,Premier League,Matchweek 3,Fri,Home,W,3,0,Luton Town,2.2,0.4,67,39893,Ben Chilwell,03/04/2003,Robert Jones,Match Report,,19,8,14.2,1,0,0,2024,Chelsea
4,02/09/2023,15:00,Premier League,Matchweek 4,Sat,Home,L,0,1,Nott'ham Forest,2.3,0.8,75,39820,Ben Chilwell,03/04/2003,Tim Robinson,Match Report,,21,2,17.7,2,0,0,2024,Chelsea
5,17/09/2023,14:00,Premier League,Matchweek 5,Sun,Away,D,0,0,Bournemouth,1.8,1,64,10421,Conor Gallagher,4-2-3-1,David Coote,Match Report,,14,6,15,1,0,0,2024,Chelsea
6,24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,L,0,1,Aston Villa,1.3,1,53,39700,Conor Gallagher,4-2-3-1,Jarred Gillett,Match Report,,10,4,17.8,0,0,0,2024,Chelsea
8,02/10/2023,20:00,Premier League,Matchweek 7,Mon,Away,W,2,0,Fulham,1.7,1.1,44,24445,Conor Gallagher,04/03/2003,Tim Robinson,Match Report,,11,4,19.8,1,0,0,2024,Chelsea
9,07/10/2023,15:00,Premier League,Matchweek 8,Sat,Away,W,4,1,Burnley,1.9,0.7,62,21654,Conor Gallagher,04/03/2003,Stuart Attwell,Match Report,,8,4,18.1,0,1,1,2024,Chelsea
10,21/10/2023,17:30,Premier League,Matchweek 9,Sat,Home,D,2,2,Arsenal,1.3,1,44,39723,Conor Gallagher,4-2-3-1,Chris Kavanagh,Match Report,,10,4,20.4,0,1,1,2024,Chelsea
11,28/10/2023,12:30,Premier League,Matchweek 10,Sat,Home,L,0,2,Brentford,1.9,2.2,68,39575,Conor Gallagher,4-2-3-1,Simon Hooper,Match Report,,17,2,16.1,1,0,0,2024,Chelsea
13,06/11/2023,20:00,Premier League,Matchweek 11,Mon,Away,W,4,1,Tottenham,4.1,0.9,60,61726,Reece James,4-2-3-1,Michael Oliver,Match Report,,16,6,16.8,0,1,1,2024,Chelsea
14,12/11/2023,16:30,Premier League,Matchweek 12,Sun,Home,D,4,4,Manchester City,2.9,2.9,45,39532,Reece James,4-2-3-1,Anthony Taylor,Match Report,,16,8,19.1,1,1,1,2024,Chelsea
15,25/11/2023,15:00,Premier League,Matchweek 13,Sat,Away,L,1,4,Newcastle Utd,0.5,2.4,46,52227,Reece James,4-2-3-1,Simon Hooper,Match Report,,7,4,18.4,2,0,0,2024,Chelsea
16,03/12/2023,14:00,Premier League,Matchweek 14,Sun,Home,W,3,2,Brighton,2.1,1.1,32,39647,Conor Gallagher,4-2-3-1,Craig Pawson,Match Report,,7,3,19.6,0,1,1,2024,Chelsea
17,06/12/2023,20:15,Premier League,Matchweek 15,Wed,Away,L,1,2,Manchester Utd,1.5,4.1,55,73607,Levi Colwill,4-2-3-1,Chris Kavanagh,Match Report,,13,3,15,0,0,0,2024,Chelsea
18,10/12/2023,14:00,Premier League,Matchweek 16,Sun,Away,L,0,2,Everton,0.9,1.2,71,39280,Reece James,4-2-3-1,Michael Oliver,Match Report,,16,4,18.5,1,0,0,2024,Chelsea
19,16/12/2023,15:00,Premier League,Matchweek 17,Sat,Home,W,2,0,Sheffield Utd,3.1,0.4,78,39599,Conor Gallagher,4-2-3-1,Andy Madley,Match Report,,15,6,17.2,1,0,0,2024,Chelsea
21,24/12/2023,13:00,Premier League,Matchweek 18,Sun,Away,L,1,2,Wolves,2,1.3,68,31641,Conor Gallagher,4-2-3-1,David Coote,Match Report,,16,4,17.4,1,0,0,2024,Chelsea
22,27/12/2023,19:30,Premier League,Matchweek 19,Wed,Home,W,2,1,Crystal Palace,2.6,1.1,63,39618,Conor Gallagher,4-2-3-1,Michael Salisbury,Match Report,,8,2,15.3,0,1,1,2024,Chelsea
23,30/12/2023,12:30,Premier League,Matchweek 20,Sat,Away,W,3,2,Luton Town,1.5,2.3,48,11041,Conor Gallagher,4-2-3-1,Paul Tierney,Match Report,,12,8,17.5,0,0,0,2024,Chelsea
26,13/01/2024,12:30,Premier League,Matchweek 21,Sat,Home,W,1,0,Fulham,2.2,0.8,55,39643,Conor Gallagher,4-2-3-1,Anthony Taylor,Match Report,,16,2,17.5,0,1,1,2024,Chelsea
29,31/01/2024,20:15,Premier League,Matchweek 22,Wed,Away,L,1,4,Liverpool,0.6,2.9,50,57524,Ben Chilwell,4-2-3-1,Paul Tierney,Match Report,,4,3,18.8,0,0,0,2024,Chelsea
30,04/02/2024,14:00,Premier League,Matchweek 23,Sun,Home,L,2,4,Wolves,1.7,2,64,39628,Ben Chilwell,4-2-3-1,Tim Robinson,Match Report,,15,4,14.5,0,0,0,2024,Chelsea
32,12/02/2024,20:00,Premier League,Matchweek 24,Mon,Away,W,3,1,Crystal Palace,1.4,0.6,77,25110,Ben Chilwell,4-2-3-1,Michael Oliver,Match Report,,14,5,15.3,0,0,0,2024,Chelsea
33,17/02/2024,17:30,Premier League,Matchweek 25,Sat,Away,D,1,1,Manchester City,1.4,2.6,30,52178,Ben Chilwell,4-2-3-1,Andy Madley,Match Report,,9,6,12.8,0,0,0,2024,Chelsea
36,02/03/2024,15:00,Premier League,Matchweek 27,Sat,Away,D,2,2,Brentford,1.8,1.8,67,17140,Ben Chilwell,03/05/2002,Jarred Gillett,Match Report,,17,5,19.5,0,0,0,2024,Chelsea
37,11/03/2024,20:00,Premier League,Matchweek 28,Mon,Home,W,3,2,Newcastle Utd,1.6,0.7,44,37753,Conor Gallagher,4-2-3-1,John Brooks,Match Report,,12,7,19.7,0,0,0,2024,Chelsea
39,30/03/2024,15:00,Premier League,Matchweek 30,Sat,Home,D,2,2,Burnley,4.2,1.6,69,39535,Conor Gallagher,4-2-3-1,Darren England,Match Report,,32,12,17.8,0,1,1,2024,Chelsea
40,04/04/2024,20:15,Premier League,Matchweek 31,Thu,Home,W,4,3,Manchester Utd,3,1.5,57,39694,Conor Gallagher,4-2-3-1,Jarred Gillett,Match Report,,26,8,19,1,2,2,2024,Chelsea
41,07/04/2024,17:30,Premier League,Matchweek 32,Sun,Away,D,2,2,Sheffield Utd,0.3,1.4,68,28638,Conor Gallagher,4-2-3-1,Robert Jones,Match Report,,6,3,18.5,0,0,0,2024,Chelsea
42,15/04/2024,20:00,Premier League,Matchweek 33,Mon,Home,W,6,0,Everton,3.1,1.5,58,39392,Conor Gallagher,4-2-3-1,Paul Tierney,Match Report,,13,9,18.8,0,1,1,2024,Chelsea
44,23/04/2024,20:00,Premier League,Matchweek 29,Tue,Away,L,0,5,Arsenal,1.6,3.3,55,60238,Conor Gallagher,4-2-3-1,Simon Hooper,Match Report,,7,1,13,1,0,0,2024,Chelsea
45,27/04/2024,20:00,Premier League,Matchweek 35,Sat,Away,D,2,2,Aston Villa,1.6,1.1,71,42354,Conor Gallagher,4-2-3-1,Craig Pawson,Match Report,,21,5,21.7,1,0,0,2024,Chelsea
46,02/05/2024,19:30,Premier League,Matchweek 26,Thu,Home,W,2,0,Tottenham,2.2,1.6,37,39086,Conor Gallagher,4-2-3-1,Robert Jones,Match Report,,16,4,16.1,2,0,0,2024,Chelsea
47,05/05/2024,14:00,Premier League,Matchweek 36,Sun,Home,W,5,0,West Ham,4.1,0.9,69,39295,Conor Gallagher,4-2-3-1,Andy Madley,Match Report,,25,14,15.7,1,0,0,2024,Chelsea
48,11/05/2024,17:30,Premier League,Matchweek 37,Sat,Away,W,3,2,Nott'ham Forest,1.6,1.5,67,29708,Conor Gallagher,4-2-3-1,Tony Harrington,Match Report,,12,5,12,1,0,0,2024,Chelsea
49,15/05/2024,19:45,Premier League,Matchweek 34,Wed,Away,W,2,1,Brighton,1.5,1.3,45,31555,Conor Gallagher,4-2-3-1,Michael Salisbury,Match Report,,14,6,20.3,2,0,0,2024,Chelsea
50,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,W,2,1,Bournemouth,1.1,2.2,61,39724,Conor Gallagher,4-2-3-1,Anthony Taylor,Match Report,,16,6,18.2,0,0,0,2024,Chelsea
0,12/08/2023,17:30,Premier League,Matchweek 1,Sat,Home,W,5,1,Aston Villa,3.3,1.8,52,52207,Kieran Trippier,04/03/2003,Andy Madley,Match Report,,17,12,13.2,0,0,0,2024,NewcastleUnited
1,19/08/2023,20:00,Premier League,Matchweek 2,Sat,Away,L,0,1,Manchester City,0.3,1,41,53419,Kieran Trippier,04/03/2003,Robert Jones,Match Report,,7,1,20.3,0,0,0,2024,NewcastleUnited
2,27/08/2023,16:30,Premier League,Matchweek 3,Sun,Home,L,1,2,Liverpool,2,0.9,59,52214,Kieran Trippier,04/03/2003,John Brooks,Match Report,,23,8,18.3,1,0,0,2024,NewcastleUnited
3,02/09/2023,17:30,Premier League,Matchweek 4,Sat,Away,L,1,3,Brighton,1.2,1.3,44,31620,Kieran Trippier,04/03/2003,Stuart Attwell,Match Report,,9,2,14.6,0,0,0,2024,NewcastleUnited
4,16/09/2023,17:30,Premier League,Matchweek 5,Sat,Home,W,1,0,Brentford,1.4,0.5,56,51670,Kieran Trippier,04/03/2003,Craig Pawson,Match Report,,8,1,20.2,0,1,1,2024,NewcastleUnited
6,24/09/2023,16:30,Premier League,Matchweek 6,Sun,Away,W,8,0,Sheffield Utd,3.9,0.9,58,31127,Kieran Trippier,04/03/2003,Stuart Attwell,Match Report,,22,15,14.2,0,0,0,2024,NewcastleUnited
8,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,W,2,0,Burnley,3.1,0.6,53,51687,Jamaal Lascelles,04/03/2003,Thomas Bramall,Match Report,,19,6,15.8,0,1,1,2024,NewcastleUnited
10,08/10/2023,14:00,Premier League,Matchweek 8,Sun,Away,D,2,2,West Ham,2,1.2,64,62473,Jamaal Lascelles,04/03/2003,Peter Bankes,Match Report,,10,3,12.1,0,0,0,2024,NewcastleUnited
11,21/10/2023,15:00,Premier League,Matchweek 9,Sat,Home,W,4,0,Crystal Palace,2.4,1.2,59,52189,Jamaal Lascelles,04/03/2003,Tim Robinson,Match Report,,10,7,10.2,0,0,0,2024,NewcastleUnited
13,28/10/2023,17:30,Premier League,Matchweek 10,Sat,Away,D,2,2,Wolves,2.2,0.9,57,31584,Jamaal Lascelles,04/03/2003,Anthony Taylor,Match Report,,12,3,14.2,0,1,1,2024,NewcastleUnited
15,04/11/2023,17:30,Premier League,Matchweek 11,Sat,Home,W,1,0,Arsenal,1,0.6,42,52194,Jamaal Lascelles,04/03/2003,Stuart Attwell,Match Report,,9,1,18.6,0,0,0,2024,NewcastleUnited
17,11/11/2023,17:30,Premier League,Matchweek 12,Sat,Away,L,0,2,Bournemouth,0.5,2.4,52,11201,Jamaal Lascelles,04/03/2003,Chris Kavanagh,Match Report,,8,5,19.5,0,0,0,2024,NewcastleUnited
18,25/11/2023,15:00,Premier League,Matchweek 13,Sat,Home,W,4,1,Chelsea,2.4,0.5,54,52227,Jamaal Lascelles,04/03/2003,Simon Hooper,Match Report,,14,5,17,1,0,0,2024,NewcastleUnited
20,02/12/2023,20:00,Premier League,Matchweek 14,Sat,Home,W,1,0,Manchester Utd,2.4,0.5,58,52214,Jamaal Lascelles,04/03/2003,Robert Jones,Match Report,,22,4,16.4,1,0,0,2024,NewcastleUnited
21,07/12/2023,19:30,Premier League,Matchweek 15,Thu,Away,L,0,3,Everton,1.5,3.3,62,38198,Jamaal Lascelles,04/03/2003,Tim Robinson,Match Report,,13,3,19.3,1,0,0,2024,NewcastleUnited
22,10/12/2023,16:30,Premier League,Matchweek 16,Sun,Away,L,1,4,Tottenham,1.7,3.8,44,61171,Jamaal Lascelles,04/03/2003,Chris Kavanagh,Match Report,,9,3,14.4,0,0,0,2024,NewcastleUnited
24,16/12/2023,15:00,Premier League,Matchweek 17,Sat,Home,W,3,0,Fulham,3.5,0.3,70,52055,Jamaal Lascelles,04/03/2003,Samuel Barrott,Match Report,,27,10,14.4,0,0,0,2024,NewcastleUnited
26,23/12/2023,15:00,Premier League,Matchweek 18,Sat,Away,L,0,1,Luton Town,1.4,1.4,65,11042,Jamaal Lascelles,04/03/2003,Darren England,Match Report,,15,2,12.2,0,0,0,2024,NewcastleUnited
27,26/12/2023,12:30,Premier League,Matchweek 19,Tue,Home,L,1,3,Nott'ham Forest,2.4,3.5,62,52207,Kieran Trippier,04/03/2003,Chris Kavanagh,Match Report,,18,5,15.1,1,1,1,2024,NewcastleUnited
